date,open,close,high,low,volume,amount
2023-09-19,3723.424,3720.502,3724.072,3702.693,8319903800,0
2023-09-20,3715.958,3705.69,3718.521,3705.127,7544820900,0
2023-09-21,3698.313,3672.445,3708.456,3672.445,8303100500,0
2023-09-22,3672.64,3738.933,3740.418,3664.766,11023116600,0
2023-09-25,3738.062,3714.604,3738.062,3711.205,9259647900,0
2023-09-26,3711.711,3692.893,3723.848,3692.617,7804452500,0
2023-09-27,3694.961,3700.495,3731.141,3694.394,9162921000,0
2023-09-28,3711.212,3689.517,3716.057,3685.3,8522171900,0
2023-10-09,3678.929,3684.727,3694.171,3641.997,10214805800,0
2023-10-10,3696.254,3657.126,3701.256,3655.589,9916373000,0
2023-10-11,3674.751,3667.548,3689.535,3658.355,10209158700,0
2023-10-12,3697.934,3702.382,3711.499,3682.842,11436322500,0
2023-10-13,3677.959,3663.41,3678.191,3652.309,9828798700,0
2023-10-16,3664.039,3626.597,3664.039,3615.769,9185311800,0
2023-10-17,3635.299,3639.402,3645.565,3619.128,9074518800,0
2023-10-18,3631.067,3610.577,3632.058,3608.977,9454587900,0
2023-10-19,3588.515,3533.545,3588.515,3532.306,11173752000,0
2023-10-20,3518.346,3510.589,3535.662,3501.725,9851860500,0
2023-10-23,3500.199,3474.244,3505.347,3450.646,9656165200,0
2023-10-24,3481.764,3487.13,3495.004,3453.102,11554728900,0
2023-10-25,3524.297,3504.458,3531.831,3500.915,12800961700,0
2023-10-26,3484.781,3514.145,3515.572,3478.05,10514356600,0
2023-10-27,3501.171,3562.385,3576.586,3494.549,12022510800,0
2023-10-30,3554.106,3583.772,3592.719,3554.024,14401042600,0
2023-10-31,3581.676,3572.506,3581.676,3554.582,11258726700,0
2023-11-01,3605.758,3571.027,3606.413,3564.642,9764553800,0
2023-11-02,3580.067,3554.189,3597.17,3553.741,9035964300,0
2023-11-03,3558.53,3584.136,3596.101,3558.53,9754210100,0
2023-11-06,3608.319,3632.608,3635.79,3600.63,15298246300,0
2023-11-07,3623.785,3619.759,3628.462,3606.298,11028859100,0
2023-11-08,3610.643,3611.072,3627.048,3591.825,11059423000,0
2023-11-09,3603.108,3612.826,3624.414,3601.374,11187205700,0
2023-11-10,3596.069,3586.489,3599.452,3576.101,10210703400,0
2023-11-13,3593.911,3579.414,3599.39,3562.768,9670764900,0
2023-11-14,3581.103,3582.058,3600.148,3568.882,10088415800,0
2023-11-15,3616.877,3607.245,3620.601,3596.916,10492921800,0
2023-11-16,3600.981,3572.364,3605.29,3572.364,8746478000,0
2023-11-17,3561.311,3568.069,3573.682,3547.029,8731920700,0
2023-11-20,3569.731,3576.323,3586.973,3545.104,9108044500,0
2023-11-21,3587.878,3581.067,3615.057,3575.682,10859431400,0
2023-11-22,3569.439,3544.416,3574.378,3544.416,8478438100,0
2023-11-23,3541.442,3561.52,3562.068,3529.939,8480016700,0
2023-11-24,3560.646,3538.009,3560.646,3533.996,8501840300,0
2023-11-27,3534.445,3511.942,3534.445,3492.862,9910231400,0
2023-11-28,3510.655,3518.523,3521.046,3501.109,8933578900,0
2023-11-29,3518.884,3488.307,3519.198,3482.244,9884141200,0
2023-11-30,3485.517,3496.203,3505.127,3481.452,10135082000,0
2023-12-01,3494.223,3482.881,3494.223,3452.173,10853094100,0
2023-12-04,3481.045,3460.138,3488.133,3459.611,9715682600,0
2023-12-05,3450.09,3394.257,3450.09,3393.814,10047200700,0
2023-12-06,3387.88,3399.598,3420.277,3382.946,10580551900,0
2023-12-07,3394.306,3391.282,3404.407,3369.768,9771324800,0
2023-12-08,3391.859,3399.462,3409.385,3383.448,12952205400,0
2023-12-11,3378.052,3419.455,3426.611,3346.89,13962624900,0
2023-12-12,3409.998,3426.803,3427.546,3406.101,10559001300,0
2023-12-13,3418.641,3369.605,3418.641,3369.605,9528536700,0
2023-12-14,3387.385,3351.964,3399.139,3350.765,8365513500,0
2023-12-15,3365.939,3341.552,3388.505,3339.519,9778778300,0
2023-12-18,3329.191,3329.366,3352.346,3314.91,9052682600,0
2023-12-19,3325.66,3334.041,3345.78,3313.187,8380811800,0
2023-12-20,3334.332,3297.502,3338.543,3297.365,9241286800,0
2023-12-21,3285.605,3330.87,3339.355,3283.988,10254619800,0
2023-12-22,3329.467,3337.228,3359.06,3315.898,10522013300,0
2023-12-25,3330.333,3347.451,3348.882,3330.333,7454269300,0
2023-12-26,3345.395,3324.79,3345.417,3315.937,7473293500,0
2023-12-27,3326.927,3336.357,3341.266,3309.673,9440392800,0
2023-12-28,3335.557,3414.54,3423.402,3331.208,14806485100,0
2023-12-29,3411.109,3431.11,3432.541,3409.58,11492893200,0
2024-01-02,3426.268,3386.352,3426.268,3386.352,11618072600,0
2024-01-03,3379.75,3378.297,3392.85,3362.662,10561385100,0
2024-01-04,3375.021,3347.052,3375.021,3323.865,10672101300,0
2024-01-05,3341.306,3329.111,3372.544,3313.554,12640057400,0
2024-01-08,3322.605,3286.056,3333.516,3283.342,11742948500,0
2024-01-09,3286.708,3292.499,3304.601,3273.843,10933046500,0
2024-01-10,3281.669,3277.129,3312.916,3268.247,9419936600,0
2024-01-11,3275.309,3295.672,3311.114,3266.791,10878973500,0
2024-01-12,3284.358,3284.167,3310.47,3279.699,9685355500,0
2024-01-15,3270.103,3280.92,3306.922,3261.269,8885153000,0
2024-01-16,3272.571,3300.876,3300.876,3260.436,11327666500,0
2024-01-17,3291.139,3229.082,3291.139,3229.082,10876972800,0
2024-01-18,3214.284,3274.729,3279.254,3171.633,17490916800,0
2024-01-19,3261.239,3269.776,3286.942,3251.814,11850140800,0
2024-01-22,3262.469,3218.902,3281.421,3193.178,14870562800,0
2024-01-23,3208.432,3231.933,3249.531,3188.126,12201200000,0
2024-01-24,3245.959,3277.109,3281.489,3190.467,15437195400,0
2024-01-25,3274.339,3342.919,3344.243,3269.794,19683361400,0
2024-01-26,3326.647,3333.821,3351.969,3315.127,18066400500,0
2024-01-29,3335.394,3303.96,3351.372,3303.96,18416479500,0
2024-01-30,3283.898,3245.039,3300.204,3244.972,14364935000,0
2024-01-31,3231.543,3215.352,3252.148,3201.926,15314346900,0
2024-02-01,3202.256,3217.711,3251.758,3191.897,14551679200,0
2024-02-02,3219.873,3179.628,3235.408,3108.352,17375808900,0
2024-02-05,3164.25,3200.422,3233.849,3111.518,20304297000,0
2024-02-06,3185.25,3311.692,3314.512,3182.822,20271309900,0
2024-02-07,3314.031,3343.63,3343.63,3289.67,21664793300,0
2024-02-08,3351.405,3364.93,3367.21,3336.978,18997757800,0
2024-02-19,3393.192,3403.808,3403.808,3364.142,18331980000,0
2024-02-20,3395.192,3410.854,3415.894,3380.103,14073458100,0
2024-02-21,3390.362,3456.871,3500.134,3383.691,18887936200,0
2024-02-22,3450.352,3486.675,3486.683,3448.414,14102078400,0
2024-02-23,3491.337,3489.742,3507.559,3472.968,14482127300,0
2024-02-26,3485.543,3453.359,3492.606,3445.389,15124833100,0
2024-02-27,3440.052,3494.787,3494.787,3437.442,13952824600,0
2024-02-28,3499.826,3450.26,3521.657,3450.26,18983754800,0
2024-02-29,3437.898,3516.083,3516.083,3437.898,15594453200,0
2024-03-01,3515.059,3537.804,3544.36,3503.459,16270957000,0
2024-03-04,3538.366,3540.869,3548.69,3519.76,16324461300,0
2024-03-05,3524.964,3565.514,3570.694,3519.082,16642238900,0
2024-03-06,3556.532,3551.048,3577.388,3545.101,14307661300,0
2024-03-07,3548.101,3529.72,3569.919,3522.896,14811051000,0
2024-03-08,3529.551,3544.91,3548.506,3511.577,12579266400,0
2024-03-11,3545.943,3589.264,3589.264,3542.279,14820282500,0
2024-03-12,3592.583,3597.494,3605.698,3574.212,18068556000,0
2024-03-13,3594.421,3572.361,3594.421,3563.369,14459059000,0
2024-03-14,3571.789,3562.223,3597.46,3545.612,14096272200,0
2024-03-15,3554.907,3569.993,3572.809,3533.68,13831604400,0
2024-03-18,3577.056,3603.528,3604.052,3573.404,16037943800,0
2024-03-19,3593.34,3577.63,3610.739,3577.188,14557178600,0
2024-03-20,3568.716,3585.384,3589.546,3568.434,12952896600,0
2024-03-21,3593.07,3581.09,3601.115,3575.033,13074337700,0
2024-03-22,3571.274,3545.002,3575.717,3522.84,13922735800,0
2024-03-25,3536.714,3525.763,3564.96,3525.763,13701572400,0
2024-03-26,3526.682,3543.747,3547.646,3518.602,12620953500,0
2024-03-27,3538.724,3502.787,3542.962,3502.787,12862676300,0
2024-03-28,3498.482,3520.965,3551.214,3489.386,14333471700,0
2024-03-29,3516.883,3537.484,3538.238,3516.883,12864329000,0
2024-04-01,3551.582,3595.647,3600.919,3551.582,16277656100,0
2024-04-02,3593.221,3580.676,3596.19,3568.754,14127297200,0
2024-04-03,3578.684,3567.803,3582.432,3558.874,13559233100,0
2024-04-08,3553.555,3536.408,3567.82,3535.769,15530428300,0
2024-04-09,3533.385,3533.487,3543.714,3518.86,12967094200,0
2024-04-10,3528.968,3504.709,3531.23,3490.053,12879027400,0
2024-04-11,3485.029,3504.245,3520.589,3484.925,12653439500,0
2024-04-12,3505.75,3475.839,3516.699,3470.061,12892111600,0
